Itr:201 Energy:-0.0649945578939167 Cost:356.7887714214114 energy_imp:4.8306859940366875e-06 cost_imp:0.2979169631656191
Itr:202 Energy:-0.06499937043888158 Cost:356.4928094377154 energy_imp:4.81254496488559e-06 cost_imp:0.29596198369603144
Itr:203 Energy:-0.06500416516405 Cost:356.1987777540807 energy_imp:4.794725168413838e-06 cost_imp:0.294031683634671
Itr:204 Energy:-0.06500894238376437 Cost:355.9066520614791 energy_imp:4.777219714369174e-06 cost_imp:0.29212569260158716
Itr:205 Energy:-0.06501370240563054 Cost:355.6164084148087 energy_imp:4.760021866168085e-06 cost_imp:0.290243646670433
Itr:206 Energy:-0.06501844553066805 Cost:355.3280232265702 energy_imp:4.743125037509621e-06 cost_imp:0.2883851882384647
Itr:207 Energy:-0.06502317205345659 Cost:355.04147326067124 energy_imp:4.726522788545129e-06 cost_imp:0.28654996589898474
Itr:208 Energy:-0.06502788226227957 Cost:354.7567356263528 energy_imp:4.7102088229777905e-06 cost_imp:0.28473763431844645
Itr:209 Energy:-0.0650325764392639 Cost:354.4737877722405 energy_imp:4.694176984329501e-06 cost_imp:0.28294785411230805
Itr:210 Energy:-0.06503725486051669 Cost:354.19260748051136 energy_imp:4.67842125279061e-06 cost_imp:0.28118029172912884
Itr:211 Energy:-0.06504191779625874 Cost:353.91317286118056 energy_imp:4.662935742055785e-06 cost_imp:0.27943461933080016
Itr:212 Energy:-0.06504656551095502 Cost:353.6354623464967 energy_imp:4.647714696270899e-06 cost_imp:0.27771051468386077
Itr:213 Energy:-0.06505119826344216 Cost:353.35945468545424 energy_imp:4.632752487146452e-06 cost_imp:0.2760076610424562
Itr:214 Energy:-0.0650558163070528 Cost:353.085128938407 energy_imp:4.618043610640776e-06 cost_imp:0.27432574704721446
Itr:215 Energy:-0.06506041988973721 Cost:352.8124644717941 energy_imp:4.603582684406526e-06 cost_imp:0.2726644666129232
Itr:216 Energy:-0.06506500925418215 Cost:352.54144095296675 energy_imp:4.589364444945732e-06 cost_imp:0.27102351882734865
Itr:217 Energy:-0.065069584637927 Cost:352.27203834511533 energy_imp:4.575383744848116e-06 cost_imp:0.26940260785141845
